a0,b1,c2,d3,e4,f5,g6
24,224,defaultclass3,Secondary Attachment,none,0,
25,225,defaultclass3,Specialty1,specialty_detectexplosive,150,
26,226,defaultclass3,Specialty2,specialty_gpsjammer,152,
27,227,defaultclass3,Specialty3,specialty_pistoldeath,166,
28,228,defaultclass3,Special Grenade,tabun_gas,103,1
29,229,defaultclass3,Camo is not scripted for offline,camo_none,0,
125,325,defaultclass3,Specialty4,specialty_greased_barrings,172,
126,326,defaultclass3,Killstreak1,killstreak_spyplane,1,
127,327,defaultclass3,Killstreak2,killstreak_artillery,8,
128,328,defaultclass3,Killstreak3,killstreak_helicopter,10,
129,329,defaultclass4,Killstreak4,killstreak_dogs,13,
#Pointman,,,,,,
30,230,defaultclass4,Primary Grenade,frag_grenade,100,1
31,231,defaultclass4,Primary Weapon,winchester1200,70,
32,232,defaultclass4,Primary Attachment,reflex,0,
33,233,defaultclass4,Secondary Weapon,colt45,0,
34,234,defaultclass4,Secondary Attachment,none,0,
35,235,defaultclass4,Specialty1,specialty_specialgrenade,182,
36,236,defaultclass4,Specialty2,specialty_shades,161,
37,237,defaultclass4,Specialty3,specialty_bulletaccuracy,169,
38,238,defaultclass4,Special Grenade,flash_grenade,106,3
39,239,defaultclass4,Camo is not scripted for offline,camo_none,0,
135,335,defaultclass4,Specialty4,specialty_water_cooled,173,
136,336,defaultclass4,Killstreak1,killstreak_spyplane,1,
137,337,defaultclass4,Killstreak2,killstreak_artillery,8,
138,338,defaultclass4,Killstreak3,killstreak_helicopter,10,
139,339,defaultclass4,Killstreak4,killstreak_dogs,13,
# Infantryman,,,,,,
40,240,defaultclass5,Primary Grenade,frag_grenade,100,1
41,241,defaultclass5,Primary Weapon,g36c,21,
42,242,defaultclass5,Primary Attachment,silencer,0,
43,243,defaultclass5,Secondary Weapon,deserteagle,3,
44,244,defaultclass5,Secondary Attachment,none,0,
45,245,defaultclass5,Specialty1,specialty_weapon_bazooka,186,2
46,246,defaultclass5,Specialty2,specialty_bulletdamage,155,
47,247,defaultclass5,Specialty3,specialty_bulletpenetration,168,
48,248,defaultclass5,Special Grenade,tabun_gas,103,1
49,249,defaultclass5,Camo is not scripted for offline,camo_none,0,
145,345,defaultclass5,Specialty4,specialty_boost,176,
146,346,defaultclass5,Killstreak1,killstreak_spyplane,1,
147,347,defaultclass5,Killstreak2,killstreak_artillery,8,
148,348,defaultclass5,Killstreak3,killstreak_helicopter,10,
149,349,defaultclass5,Killstreak4,killstreak_dogs,13,
# Veteran,,,,,,
50,250,defaultclass6,Primary Grenade,frag_grenade,100,2
51,251,defaultclass6,Primary Weapon,ak47,25,
52,252,defaultclass6,Primary Attachment,acog,0,
53,253,defaultclass6,Secondary Weapon,m14,23,
54,254,defaultclass6,Secondary Attachment,none,0,
55,255,defaultclass6,Specialty1,specialty_fraggrenade,180,
56,256,defaultclass6,Specialty2,specialty_twoprimaries,158,
57,257,defaultclass6,Specialty3,specialty_longersprint,165,
58,258,defaultclass6,Special Grenade,m8_white_smoke,102,1
59,259,defaultclass6,Camo is not scripted for offline,camo_none,0,
155,355,defaultclass6,Specialty4,specialty_ordinance,174,
156,356,defaultclass6,Killstreak1,killstreak_spyplane,1,
157,357,defaultclass6,Killstreak2,killstreak_artillery,8,
158,358,defaultclass6,Killstreak3,killstreak_helicopter,10,
197,397,defaultclass6,Killstreak4,killstreak_dogs,13,
# Avenger,,,,,,
60,260,defaultclass7,Primary Grenade,frag_grenade,100,1
61,261,defaultclass7,Primary Weapon,p90,13,
62,262,defaultclass7,Primary Attachment,silencer,0,
63,263,defaultclass7,Secondary Weapon,beretta,2,
64,264,defaultclass7,Secondary Attachment,none,0,
65,265,defaultclass7,Specialty1,specialty_specialgrenade,182,
66,266,defaultclass7,Specialty2,specialty_gas_mask,162,
67,267,defaultclass7,Specialty3,specialty_bulletaccuracy,169,
68,268,defaultclass7,Special Grenade,tabun_gas,103,3
69,269,defaultclass7,Camo is not scripted for offline,camo_none,0,
165,365,defaultclass7,Specialty4,specialty_water_cooled,173,
166,366,defaultclass7,Killstreak1,killstreak_spyplane,1,
167,367,defaultclass7,Killstreak2,killstreak_artillery,8,
168,368,defaultclass7,Killstreak3,killstreak_helicopter,10,
169,369,defaultclass7,Killstreak4,killstreak_dogs,13,
# Enforcer,,,,,,
70,270,defaultclass8,Primary Grenade,frag_grenade,100,1
71,271,defaultclass8,Primary Weapon,ak74u,14,
72,272,defaultclass8,Primary Attachment,reflex,0,
73,273,defaultclass8,Secondary Weapon,357magnum,4,
74,274,defaultclass8,Secondary Attachment,none,0,
75,275,defaultclass8,Specialty1,specialty_weapon_bazooka,186,2
76,276,defaultclass8,Specialty2,specialty_fastreload,157,
77,277,defaultclass8,Specialty3,specialty_bulletpenetration,168,
78,278,defaultclass8,Special Grenade,tabun_gas,103,1
79,279,defaultclass8,Camo is not scripted for offline,camo_none,0,
175,375,defaultclass8,Specialty4,specialty_ordinance,174,
176,376,defaultclass8,Killstreak1,killstreak_spyplane,1,
177,377,defaultclass8,Killstreak2,killstreak_artillery,8,
178,378,defaultclass8,Killstreak3,killstreak_helicopter,10,
179,379,defaultclass8,Killstreak4,killstreak_dogs,13,
# Guardian,,,,,,
80,280,defaultclass9,Primary Grenade,molotov,101,1
81,281,defaultclass9,Primary Weapon,m1014,71,
82,282,defaultclass9,Primary Attachment,grip,0,
83,283,defaultclass9,Secondary Weapon,357magnum,4,
84,284,defaultclass9,Secondary Attachment,none,0,
85,285,defaultclass9,Specialty1,specialty_weapon_satchel_charge,184,2
86,286,defaultclass9,Specialty2,specialty_flakjacket,154,
87,287,defaultclass9,Specialty3,specialty_grenadepulldeath,167,
88,288,defaultclass9,Special Grenade,tabun_gas,103,1
89,289,defaultclass9,Camo is not scripted for offline,camo_none,0,
185,385,defaultclass9,Specialty4,specialty_greased_barrings,172,
186,386,defaultclass9,Killstreak1,killstreak_spyplane,1,
187,387,defaultclass9,Killstreak2,killstreak_artillery,8,
188,388,defaultclass9,Killstreak3,killstreak_helicopter,10,
189,389,defaultclass9,Killstreak4,killstreak_dogs,13,
# Marksman,,,,,,
90,290,defaultclass10,Primary Grenade,frag_grenade,100,1
91,291,defaultclass10,Primary Weapon,barrett,64,
92,292,defaultclass10,Primary Attachment,none,0,
93,293,defaultclass10,Secondary Weapon,357magnum,4,
94,294,defaultclass10,Secondary Attachment,none,0,
95,295,defaultclass10,Specialty1,specialty_weapon_claymore,185,2
96,296,defaultclass10,Specialty2,specialty_armorvest,159,
97,297,defaultclass10,Specialty3,specialty_holdbreath,163,
98,298,defaultclass10,Special Grenade,flash_grenade,106,1
99,299,defaultclass10,Camo is not scripted for offline,camo_none,0,
195,395,defaultclass10,Specialty4,specialty_boost,176,
196,396,defaultclass10,Killstreak1,killstreak_spyplane,1,
197,397,defaultclass10,Killstreak2,killstreak_artillery,8,
198,398,defaultclass10,Killstreak3,killstreak_helicopter,10,
199,399,defaultclass10,Killstreak4,killstreak_dogs,13,
