name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,,,
amb_wind_low_shrt_r,amb\environment\wind\snow\cold_wind\low\low_r.wav,AMB_500,,,ambience,93,93,,180,350,350,curve2,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,150,225,92,0.55,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_swirl,amb\environment\wind\cold\cold_2_r.wav,AMB_500,,,ambience,92,95,,150,600,600,curve3,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,150,600,96,0.35,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_swirl_2,amb\environment\wind\cold\cold_1_r.wav,AMB_500,,,ambience,92,92,,150,500,500,curve2,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,150,500,97,0.35,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_calm,amb\environment\wind\snow\cold_wind\calm\calm_00.wav,AMB_1000,,,ambience,90,90,,400,800,800,curve4,curve4,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,95,0.35,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_calm_2,amb\environment\wind\snow\cold_wind\calm\calm_00.wav,AMB_500,,,ambience,92,95,,200,600,600,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,300,600,96,0.35,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#By trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_quiet,amb\environment\wind\snow\cold_wind\short\short_01.wav,AMB_500,,,ambience,93,93,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,98,,,,120,200,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_close,amb\environment\wind\snow\cold_wind\short\short_00.wav,AMB_500,,,ambience,93,93,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,100,250,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_window,amb\environment\wind\snow\cold_wind\window\window_wind.wav,AMB_500,,,ambience,93,93,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,120,200,92,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#short, heavy gusts v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_gust,amb\weather\blizzard\gusts,AMB_1000,,,ambience,89,93,,150,,,,curve4,,,3,priority,,,-300,300,,,,,,3d,,,,,,98,,,,150,400,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
"#thin, harsh gusts v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_howl,amb\environment\wind\howl\snowy,AMB_1000,,,ambience,90,94,,150,,,,curve4,,,3,priority,,,-300,300,,,,,,3d,streamed,,,,,98,,,,150,400,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#whistly howls v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_bluster,amb\environment\wind\gusts\whistling,AMB_1000,,,ambience,90,94,,150,,,,,,,3,priority,,,-300,300,,,,,,3d,streamed,,,,,98,,,,150,400,92,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_whistle,amb\environment\wind\howl\indoor\indoor.wav,AMB_250,,,ambience,94,94,,80,175,175,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,100,140,93,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_room_1,amb\environment\wind\snow\indoor\indoor_r.wav,AMB_500,,,ambience,93,93,,400,700,700,curve3,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,300,500,95,1,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_room_2,amb\environment\wind\snow\indoor\indoor_l.wav,AMB_250,,,ambience,95,95,,150,,,curve3,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,200,94,1,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_opening,amb\environment\wind\opening,AMB_500,,,ambience,94,96,,200,,,curve2,curve5,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,100,250,94,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_room_heli,amb\environment\wind\dull\outside\dull_st.wav,AMB_BG_2D,,,ambience,92,92,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_room_out,amb\rooms\wmd\amb_wind_chilly_bg.wav,AMB_BG_2D,,,ambience,91,91,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_wind_room_in,amb\environment\wind\dull\inside\dull_int.wav,AMB_BG_2D,,,ambience,90,90,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_radar_dish,amb\electronics\sat_dish\small_dish.wav,AMB_1000,,,ambience,97,97,,400,1100,1100,curve3,curve3,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_radar_creak,amb\electronics\sat_dish\creaks,AMB_1000,,,ambience,87,92,,300,,,,,,,,,,,-300,100,,,,,,3d,,,,0.8,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_radar_creak,,AMB_1000,,,ambience,87,92,,300,,,,,,,,,,,-300,100,,,,,,3d,,,,0.8,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_comp_room_sparks,amb\electronics\spark\small,AMB_FAR,,,event,94,97,,250,400,,log1,log0,,,,,,,,,,,,,,3d,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event,,,
amb_computer_sounds,amb\electronics\computer\room_le,AMB_NEAR,,,ambience,92,96,,25,700,701,log1,log0,,,,,,,,,,,,,,3d,streamed,looping,pitch,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_console,amb\electronics\computer\loops\mainframe\mainframe_loop_02.wav,AMB_500,,,ambience,91,91,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_ticker,amb\electronics\computer\loops\mainframe\mainframe_loop_03.wav,AMB_500,,,ambience,90,90,,,,,,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_buzz,amb\electronics\computer\loops\mainframe\mainframe_loop_00.wav,AMB_500,,,ambience,96,96,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_print,amb\electronics\computer\loops\mainframe\mainframe_loop_01.wav,AMB_500,,,ambience,91,91,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_comp_drive,amb\electronics\computer\quagmire\mainframe\drives\drives_01.wav,AMB_500,,,ambience,88,88,,,,,,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_click,amb\electronics\computer\quagmire\mainframe\drives\drives_02.wav,AMB_500,,,ambience,90,90,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_reel,amb\electronics\computer\loops\reel\reel.wav,AMB_500,,,ambience,96,96,,,,,,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_reel_2,amb\electronics\computer\quagmire\mainframe\drives\drives_00.wav,AMB_500,,,ambience,94,94,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_comp_beeps,amb\electronics\computer\loops\beeps_n_boops\beeps.wav,AMB_500,,,ambience,89,93,,75,300,300,,curve2,,,1,oldest,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_comp_ping,amb\electronics\computer\ping\ping_00.wav,AMB_500,,,ambience,91,92,,,,,,curve2,,,,,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_gen,amb\industrial\heater\heater.wav,AMB_1000,,,ambience,92,92,,,,,,,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_power_hum,amb\industrial\hum\hum_high.wav,AMB_500,,,ambience,94,94,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_buzz,amb\industrial\power\buzz\buzz.wav,AMB_500,,,ambience,82,82,,150,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_power_station,amb\industrial\power\hum\hum.wav,AMB_1000,,,ambience,93,93,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
#amb_power_line,amb\industrial\power\powerline\powerline.wav,AMB_500,,,ambience,93,93,,150,600,600,,curve1,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_power_motor,amb\industrial\power\motor\motor_00.wav,AMB_1000,,,ambience,94,94,,150,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_power_roof,amb\industrial\engine\run\run.wav,AMB_1000,,,ambience,92,92,,200,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_power_roof_2,amb\industrial\big_machine,AMB_1000,,,ambience,92,92,,200,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,AMB_500,,,ambience,90,90,,100,,,,,rcurve2,rcurve2,,,,,-100,100,,,,,,3d,,looping,,,,98,,,,20,60,91,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_steam_sputter,amb\industrial\steam\sputter\sputter_00.wav,AMB_250,,,ambience,88,88,,45,150,150,curve2,curve2,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,20,60,90,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_flag,amb\cloth\flag\flag_00.wav,AMB_1000,,,ambience,92,92,,300,1100,1100,curve2,curve2,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_weather_vane_1,amb\industrial\vane\vane_00.wav,AMB_1000,,,ambience,93,93,,200,,,log3,log3,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_weather_vane_2,amb\industrial\vane\vane_01.wav,AMB_1000,,,ambience,93,93,,200,,,log3,log3,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_metal_creak,amb\creak\stair,AMB_1000,,,ambience,88,93,,400,1100,1100,curve2,curve2,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_branch_creak,amb\creak\tree,AMB_1000,,,ambience,92,96,,200,,,curve2,curve2,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fan_spin,amb\industrial\fan\ac\ac_00.wav,AMB_500,,,ambience,97,97,,150,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_pipe_flow,amb\industrial\pipe\flow\flow_02.wav,AMB_500,,,ambience,95,95,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_snow_fall,amb\environment\snow\fall,AMB_1000,,,ambience,88,93,,,,,,,,,,,,,-200,200,,,,,,3d,,,,0.6,,96,,,,75,150,94,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_gondola_swing,amb\creak\gondola,AMB_1000,,,ambience,94,97,,160,,,curve2,curve2,,,1,reject,,,-150,150,,,,,,3d,,,,,,96,,,,180,180,98,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_gondola_swing_back,amb\creak\gondola,AMB_1000,,,ambience,87,92,,160,,,curve2,curve2,,,1,reject,,,-150,150,,,,,,3d,,,,,,96,,,,180,180,98,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_elec_spark,amb\electronics\spark\small,AMB_1000,,,ambience,84,92,,,,,,,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_spark_small,amb\electronics\spark\small,AMB_1000,,,ambience,83,91,,,,,,,,,,,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_181A_rus2_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_182A_rus3_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_183A_rus1_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_184A_rus3_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_185A_rus1_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_186A_rus1_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_187A_rus1_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_188A_rus2_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_189A_rus3_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
vox_comp_radio,vox\scripted\flashpoint\vox_fla1_s99_190A_rus1_f.wav,AMB_500,,,voice,94,94,,75,350,350,,,,,1,reject,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,voice,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dst_dest_tank_flat_end_snowy01_dp_d2,exp\artillery\explosion,EVT_3D,,,event,100,100,,800,2000,3000,curve3,,,,,,,,,,,,,,,,,,,,,,,,,200,500,94,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
#dest_tank_flat_end_snowy01_lid_tag_dp_d1,amb\environment\fire\extreme\extreme.wav,EVT_3D,,,event,95,95,,400,1000,1500,log0,,,,2,priority,,,-20,10,,,,,,3d,,looping,pitch,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_fire_xlrg,amb\environment\fire\extreme\extreme.wav,amb_1500,,,ambience,95,96,,600,1500,1500,log0,,,,16,priority,,,-50,25,,,,,,3d,,looping,pitch,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_pipe_hiss,amb\industrial\pipe\hiss\hiss_R.wav,amb_500,,,ambience,100,100,,400,1000,1200,,curve3,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,100,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_space_heater,amb\industrial\heater\space_heater.wav,AMB_500,,,ambience,93,93,,200,600,900,,log1,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_water_drip,amb\environment\water\drip\loop\large_drip.wav,amb_500,,,ambience,93,93,,50,400,600,log1,log3,,,,,,,0,0,,,,,,3d,,looping,pitch,,,100,,,,50,150,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fire_xlrg,amb\environment\fire\extreme\extreme.wav,amb_1500,,,ambience,95,96,,600,1500,1500,log2,,,,16,priority,,,-50,25,,,,,,3d,,looping,pitch,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
exp_tank_fire,amb\environment\fire\medium\medium.wav,amb_500,,amb_pipe_fire_hiss,ambience,100,100,,600,1500,1500,log3,curve3,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,100,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
amb_pipe_fire_hiss,amb\industrial\gas\hiss,amb_500,,,ambience,95,95,,200,600,1200,log3,curve3,,,,,,,-150,165,,,,,,3d,,looping,pitch,,,100,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience,,,
