name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,,,,
amb_wind_howl,amb\environment\wind\howl\outdoor,AMB_1000,,,ambience,86,90,,,,,,,,,2,reject,,,-300,300,,,,,,3d,,,,,,98,,,,200,500,92,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_hangar_l,amb\environment\wind\underground\dank\wind_dank_l.wav,AMB_500,,,ambience,90,90,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,100,300,92,0.8,,,,,,,,,,,,,,,,,,,,,,
amb_wind_hangar_r,amb\environment\wind\underground\dank\wind_dank_r.wav,AMB_500,,,ambience,90,90,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,100,300,92,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_hangar_low,amb\environment\wind\underground\low\wind_low.wav,AMB_500,,,ambience,89,89,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,200,300,93,0.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_whistle,amb\environment\wind\howl\indoor\indoor.wav,AMB_500,,,ambience,88,88,,,,,curve3,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,98,,,,200,300,92,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_window,amb\environment\wind\calm\window\cold_window.wav,AMB_500,,,ambience,94,94,,,,,curve4,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,200,92,0.3,,,,,,,,,,,,,,,,,,,,,,
amb_wind_window_2,amb\environment\wind\calm\window\cold_window.wav,AMB_500,,,ambience,94,94,,,,,curve4,curve4,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,100,200,92,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_inside,amb\rooms\quagmire\quiet\quiet.wav,AMB_BG_2D,,,ambience,93,93,,,,,,,,,,,,,0,0,,,,,,2d,streamed,looping,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_bird_line,amb\environment\wind\tree\leaves\birds\birds_night.wav,AMB_1000,,,ambience,96,96,,300,,,curve3,curve3,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,300,600,92,0.3,,,,,,,,,,,,,,,,,,,,,,
amb_bird_crow,amb\animals\birds\raven,AMB_1000,,,ambience,85,90,,,,,,,,,4,reject,,,-300,300,,,,,,3d,,,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_radar_dish,amb\electronics\sat_dish\small_dish.wav,AMB_1000,,,ambience,92,92,,,,,curve2,curve3,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_sock,amb\cloth\windsock,AMB_500,,,ambience,92,96,,,,,curve2,curve2,,,,,,,-300,300,,,,,,3d,,,,0.9,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_line,amb\industrial\power\powerline\powerline.wav,AMB_1000,,,ambience,88,88,,,,,,,,,,,,,0,0,,,,,,3d,,looping,,,,96,,,,150,200,89,0.3,,,,,,,,,,,,,,,,,,,,,,
amb_power_arc,amb\industrial\power\arcs\arc,AMB_500,,,ambience,90,93,,,,,,,,,,,,,-50,50,,,,,,3d,,,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_power_box,amb\industrial\power\hum\hum.wav,AMB_500,,,ambience,96,96,,,,,,,,,,,,,-70,70,,,,,,3d,,looping,,,,96,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
amb_power_buzz,amb\industrial\buzz\buzz_00.wav,AMB_1000,,,ambience,90,90,,450,900,1200,,,,,,,,,-70,70,,,,,,3d,,looping,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
amb_power_crackle,amb\industrial\power\arcs\loop\loop_00.wav,AMB_500,,,ambience,82,82,,,,,,,,,3,priority,,,-70,70,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_metal_creak,amb\creak\metal,AMB_500,,,ambience,82,85,,,,,,,,,1,reject,,,-300,300,,,,,,3d,,,,0.7,,98,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_light_buzz,amb\lights\buzz\buzz_01.wav,AMB_500,,,ambience,90,94,,,,,,,,,,,,,,,,,,,,3d,,looping,,,,96,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,
amb_flourescent,amb\lights\flourescent\flourescent.wav,amb_500,,,ambience,82,82,,100,400,,,curve3,,,3,priority,,,-150,165,,,,,,3d,,looping,pitch,,,93,,,,50,75,93,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_beeps,amb\electronics\computer\loops\beeps_n_boops\beeps.wav,AMB_500,,,ambience,89,93,,75,300,300,,curve2,,,1,oldest,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_console,amb\electronics\computer\loops\mainframe\mainframe_loop_02.wav,AMB_500,,,ambience,91,91,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,94,,,,40,80,86,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_bips,amb\electronics\computer\loops\beeps_n_boops\bips.wav,AMB_500,,,ambience,89,93,,75,300,300,,curve2,,,1,oldest,,,-150,150,,,,,,3d,streamed,,,,,96,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_comp_buzz,amb\electronics\computer\loops\mainframe\mainframe_loop_00.wav,AMB_500,,,ambience,96,96,,,,,,curve2,,,,,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_ping,amb\electronics\computer\ping\ping_00.wav,AMB_500,,,ambience,91,92,,,,,,curve2,,,,,,,0,0,,,,,,3d,,,,,,92,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_data,amb\electronics\computer\data_2\data_2_00.wav,AMB_500,,,ambience,80,88,,,,,curve1,curve2,,,,,,,0,0,,,,,,3d,,,,,,96,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_clock_tick,amb\clocks\tick\loop\loop.wav,amb_500,,,ambience,83,83,,100,400,,,,,,1,priority,,,0,0,,,,,,3d,,looping,,,,96,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_comp_reel,amb\electronics\computer\loops\reel\reel.wav,AMB_500,,,ambience,96,96,,,,,,curve2,,,3,priority,,,0,0,,,,,,3d,,looping,,,,96,,,,40,80,86,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
amb_comp_reel_2,amb\electronics\computer\quagmire\mainframe\drives\drives_00.wav,AMB_500,,,ambience,94,94,,,,,,curve2,,,3,priority,,,0,0,,,,,,3d,streamed,looping,,,,96,,,,40,80,86,0.8,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_steam_hiss,amb\industrial\steam\hiss\small\small.wav,amb_1000,,,ambience,86,89,,500,800,900,curve0,curve3,,,2,priority,,,-150,165,,,,,,3d,,looping,pitch,,,98,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_drip,amb\environment\water\drip\loop\large_drip.wav,amb_500,,,ambience,90,90,,,,,,,,,3,priority,,,0,0,,,,,,3d,,looping,pitch,,,100,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_lantern,amb\lantern\lantern_loop_far.wav,AMB_500,,,ambience,100,100,,200,400,600,curve3,curve3,,,2,priority,,,,,,,,,,,streamed,looping,pitch,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_heating_vent,amb\industrial\fan\heater\heater_vent.wav,AMB_500,,,ambience,97,97,,150,,,,,,,2,priority,,,0,0,,,,,,3d,,looping,,,,100,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
amb_exterior_vent,amb\industrial\fan\blower\blower.wav,AMB_500,,,ambience,97,97,,200,600,800,,,,,2,priority,,,0,0,,,,,,3d,,looping,,,,90,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evt_comp_room_sparks,evt\wmd\comp_room,AMB_FAR,,,event,98,98,,100,500,1000,log2,log0,,,,,,,,,,,,,,3d,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_spark_small,amb\electronics\spark\small,AMB_1000,,,ambience,83,91,,,,,,,,,2,priority,,,-200,200,,,,,,3d,,,,,,96,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_tree_snow,amb\environment\snow\fall,AMB_1000,,,ambience,83,86,,250,1000,1500,log3,log1,,,,,,,-150,150,,,,,,3d,,,,,2400,100,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,ambience
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
