name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_challenge_complete,mus\mp\stings\mp_achievement.wav,MUS_NORMAL_2D,,,music,100,100,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_level_up,mus\mp\stings\mp_level_up.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_level_up_aar,,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_challenge_complete,mus\mp\stings\mp_milestone_sting.wav,MUS_NORMAL_2D,,,music,98,98,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_contract_complete,mus\mp\stings\mp_contract_complete.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_contract_expire,mus\mp\stings\mp_contract_expire.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_kls_10,mus\mp\stings\mp_kls_10.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_kls_15,mus\mp\stings\mp_kls_15.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_kls_20,mus\mp\stings\mp_kls_20.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#mus_kls_25,mus\mp\stings\mp_kls_25.wav,MUS_NORMAL_2D,,,music,97,97,,,,,,,,,1,reject,,,0,0,,100,100,0.25,1,2d,streamed,,,,,0,mp_music_duck,music,,,,,,,,,,,,,,,,,,,,yes,,,,,,,event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpl_crate_enemy_steals,mpl\crate_steal\crate_enemy_steals.wav,EVT_2D,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpl_crate_friendly_steals,mpl\crate_steal\crate_friendly_steals.wav,EVT_2D,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uin_gamble_perk,uin\gamble\gamble.wav,UIN_BUTTON_2D,,mpl_crate_friendly_steals,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MP Overides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_movement_foliage_plr,fly\movement\foliage,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_movement_foliage_npc,fly\movement\foliage,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MP Search and Destroy Bomb Sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fly_bomb_fuse_twist_plr,mpl\bomb_plant\twist,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fly_bomb_fuse_twist_npc,mpl\bomb_plant\twist,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fly_bomb_pull_pin_plr,wpn\grenade\foley\pin,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fly_bomb_pull_pin_npc,wpn\grenade\foley\pin,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_raise_plr,mpl\bomb_plant\briefcase\wpfoly_case_bomb_raise_v1.wav,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_buttons_plr,mpl\bomb_plant\buttons,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_interrupt_plr,mpl\bomb_plant\briefcase\wpfoly_case_bomb_interrupt_v1.wav,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_drop_plr,mpl\bomb_plant\briefcase\wpfoly_case_bomb_drop_v1.wav,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_defuse_plr,mpl\bomb_plant\briefcase\wpfoly_case_bomb_defuse_v1.wav,FLY_CM_PLR_2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_bomb_buttons_npc,mpl\bomb_plant\buttons,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MP equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_wood,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_carpet,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_plaster,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_rock,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_asphalt,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_brick,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_ceramic,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_concrete,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_dirt,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_bark,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_foliage,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_grass,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_gravel,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_ice,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_mud,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_sand,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_snow,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_cloth,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_cushion,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_default,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_flesh,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_fruit,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_glass,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_metal,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_paintedmetal,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_paper,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_plastic,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_player,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_rubber,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_tallgrass,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_gen_plant_water,wpn\grenade\claymore\claymore_plant_00.wav,FLY_CM_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Claymore Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly_claymore_plant_plr,wpn\grenade\claymore\claymore_plant_00.wav,,wpn_claymore,fly_gear_plant_plr,reload,99,100,,,,,,,,,,,,,-182,165,,90,90,0.25,1,2d,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,reload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
