name,loadspec,smoothing,earlyTime,lateTime,earlyGain,lateGain,returnGain,earlyLpf,lateLpf,inputLpf,dampLpf,wallReflect,dryGain,earlySize,lateSize,diffusion
creek_1_partial_hut,spl_creek_1,0.5,0.355,0.245,0.72,0.1600001,1.151538,0.475,0.385,0.185,0.415,0.74,0,4.522999,4.522999,0.5
creek_1_small_hut,spl_creek_1,0.5,0.355,0.355,1,0.3600001,1,0.17,0.48,0.125,0.07999996,1,0,4.284499,4.284499,0.5
creek_1_large_hut,spl_creek_1,0.4150001,0.355,0.355,0.3028758,1.033746,1,0.17,0.13,0.3,0.6999999,0.845,0,4.204999,3.171499,0.09499998
creek_1_village_fight,spl_creek_1,0.385,0.5450001,0.32,0.4422802,0.03279001,1.078838,0.34,0.245,0.4449998,0.3749999,0.43,0,8.497999,7.862001,0.8499999
creek_1_cave,spl_creek_1,0.5,0.385,0.54,0.715,1.5,0.9166328,0.385,0.57,0.565,0.4649999,0.24,0,2.535495,3.330495,0.62
creek_1_cave_war,spl_creek_1,0.5,0.385,0.54,0.715,1.5,0.9166328,0.385,0.57,0.565,0.4649999,0.24,0,2.535495,3.330495,0.62
creek_1_cave_collapse,spl_creek_1,0.5,0.385,0.54,0.715,1.5,0.9166328,0.385,0.57,0.565,0.4649999,0.24,0,2.535495,3.330495,0.62
creek_1_underwater,spl_creek_1,0.945,0.8450001,0.8450001,1.54,1.42,0.4498525,0.4149999,0.36,0.82,0.955,0.855,0,6.749,6.749,0.5
flashpoint_outside,,0.375,0.4149999,0.41,0.1356526,0.4018039,1.607882,0.3249999,0.66,0.37,0.4150001,0.4199999,0,4.046001,9.928989,0.16
flashpoint_compound,spl_flashpoint,0.5,0.38,0.305,0.805,0.5890174,1,0.385,0.275,0.035,0.28,0.805,0,6.6695,6.5105,0.825
flashpoint_drainage_room,spl_flashpoint,0.5,0.3350001,0.43,0.4008171,0.66,1,0.035,0.2700001,0.435,0.07499999,0.82,0,5.397499,4.761508,0.5
flashpoint_rocket_pad,spl_flashpoint,0.635,0.32,0.645,0.3225224,1.374006,0.4887155,0.535,0.365,0.25,0.335,0.635,0,5.636001,5.079504,0.3000001
flashpoint_alley,spl_flashpoint,0.5,0.175,0.605,0.2320143,0.6207936,0.9777179,0.43,0.5,0.6,0.2850001,0.755,0,3.410004,7.703008,0.275
flashpoint_office_room,spl_flashpoint,0.5,0.365,0.315,0.805,0.66,1,0.56,0.72,0.48,0.335,0.8,0,5.2385,4.523,0.5
flashpoint_stairs,spl_flashpoint,0.5,0.485,0.325,0.8475981,0.6041108,0.9194285,0.32,0.2,0.42,0.38,0.7999999,0,6.589999,8.418496,0.365
flashpoint_computer_room,spl_flashpoint,0.5,0.3550001,0.465,0.7368,1.139575,0.4896088,0.405,0.375,0.495,0.435,0.55,0,5.5565,5.238504,0.485
flashpoint_compound_room,spl_flashpoint,0.5,0.565,0.705,0.805,0.66,1,0.385,0.72,0.48,0.43,0.82,0,3.1715,3.1715,0.5
flashpoint_compound_stairs,spl_flashpoint,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
flashpoint_compound_stair,spl_flashpoint,0.5,0.38,0.585,0.4134437,0.4201501,2.44767,0.4400001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
flashpoint_gantry_platform,spl_flashpoint,0.5,0.7000001,0.7000001,0.2,0.485,1.177946,0.58,0.85,0.335,0.695,1,0,9.451998,8.577496,0.5
flashpoint_facility_small_a,spl_flashpoint,0.5,0.35,0.3,0.805,1.018422,1.388211,0.675,0.72,0.475,0.655,0.665,0,4.046,4.7615,0.5
flashpoint_facility_small_b,spl_flashpoint,0.5,0.465,0.59,0.01126121,1.221399,1.104943,0.29,0.295,0.26,0.22,0.665,0,7.384995,4.7615,0.72
flashpoint_concrete_room,spl_flashpoint,0.5,0.705,0.705,0.805,0.66,1,0.385,0.72,0.035,0.3,0.82,0,3.1715,3.1715,0.5
flashpoint_facility_room_large,spl_flashpoint,0.5,0.705,0.705,0.805,0.66,1,0.385,0.72,0.035,0.3,0.82,0,3.1715,3.1715,0.5
flashpoint_facility_tunnel,spl_flashpoint,0.5,0.5149999,0.43,0.5475075,0.8083271,1.642691,0.415,0.5600001,0.48,0.5,0.82,0,5.874504,3.1715,0.5
flashpoint_facility_high,spl_flashpoint,0.5,0.54,0.54,0.805,0.66,1.122821,0.385,0.72,0.505,0.595,0.82,0,5.0795,5.0795,0.5
flashpoint_large_concrete,spl_flashpoint,0.64,0.74,0.54,0.805,0.4244861,0.7806554,0.665,0.72,0.265,0.535,0.82,0,7.862,6.1925,0.5
hue_city_office,spl_hue_city,0.705,0.205,0.205,1,0.82,1,0.17,0.39,0.36,0.07999996,0.7450001,0,3.8075,3.8075,0.5
hue_city_street,spl_hue_city,0.5,0.37,0.37,0.825,0.64,1,0.09499998,0.475,0.85,0.925,0.37,0,9.162998,9.162998,0.5
hue_city_bathroom,spl_hue_city,0.5,0.675,0.675,1,0.64,1,0,0,0.14,0.69,1,0,3.251,3.251,0.5
hue_city_largeroom,spl_hue_city,0.5,0.535,0.535,1.22,1.54,1,0.43,0.7899999,0.51,0.49,0.2849999,0,11.678,11.678,0.5
hue_city_smallroom,spl_hue_city,0.525,0.48,0.48,1,0.9850001,1,0.13,0.665,0.215,0.005,0.9950001,0,1.1335,1.1335,0.5
hue_city_hallway,spl_hue_city,0.5,0.475,0.34,0.9298208,0.7362747,1.547841,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
hue_city_stoneroom,spl_hue_city,0.5,0.705,0.615,0.4109738,0.66,0.8456711,0.385,0.72,0.035,0.3,0.685,0,3.1715,3.1715,0.645
hue_city_warroom,spl_hue_city,0.5,0.535,0.6,0.3296405,1.030351,0.4222331,0.43,0.355,0.51,0.365,0.2849999,0,5.556498,4.840995,0.69
hue_city_stonecorridor,spl_hue_city,0.5,0.59,0.57,0.5000001,1,0.6610167,0.315,0.19,0.285,0.27,0.8199999,0,4.682,4.2845,0.2
hue_city_hallroom,spl_hue_city,0.5,0.485,0.565,0.2817803,0.3557587,2.66806,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
hue_city_medlroom,spl_hue_city,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
jungle_room_small,mpl_jungle,0.525,0.48,0.48,1,0.9850001,1,0.13,0.665,0.215,0.005,0.9950001,0,1.1335,1.1335,0.5
jungle_partial_courtyard,mpl_jungle,0.73,0.605,0.21,0.72,0.1600001,1,0.16,0.385,0.205,0.18,1,0,6.589999,5.874499,0.5
jungle_courtyard,mpl_jungle,0.5,0.355,0.355,0.72,0.1600001,1,0.16,0.385,0.125,0.07999996,1,0,4.522999,4.522999,0.5
jungle_hangar,mpl_jungle,0.975,0.7600001,0.8100001,0.6179757,0.1702473,1,0.005,0.8750001,0.595,0.62,0.7750001,0,7.305499,9.213502,0.5
jungle_default,mpl_jungle,0.965,0.36,0.36,0.535,0.3999999,1,0.825,0.8000001,0.615,0.6649999,0.71,0,11.51901,11.51901,0.5
kowloon_hallway_wide,spl_kowloon,0.5,0.41,0.455,0.5488378,0.4072309,1.508934,0.32,0.2,0.32,0.38,0.535,0,6.589999,3.569,0.635
kowloon_hallway_narrow,spl_kowloon,0.5,0.475,0.39,0.9298208,0.7362747,1.364984,0.305,0,0.175,0.405,0.84,0,2.297002,4.9205,0.865
kowloon_smallroom,spl_kowloon,0.525,0.48,0.42,0.755305,0.8158321,1,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
kowloon_largeroom,spl_kowloon,0.5,0.52,0.515,0.4452697,0.1110195,2.066492,0.48,0.5499999,0.51,0.435,0.6449999,0,6.987499,5.636002,0.245
kowloon_stairwell,spl_kowloon,0.5,0.675,0.33,0.3574387,0.64,2.44767,0.1850001,0.47,0.24,0.5,0.8,0,3.887,5.954,0.1
kowloon_outside,spl_kowloon,0.5,0.735,0.4600001,0.6454012,0.06289286,1.395307,0,0.745,0.075,0.57,0.12,0,7.970502,10.3555,0.625
kowloon_wide_outside,spl_kowloon,0.5,0.5750003,0.3350001,1.332788,0.134727,0.7437863,0.415,0.2900002,0.48,0.29,0.41,0,11.1505,10.5145,0.26
kowloon_open_top,spl_kowloon,0.5,0.3350002,0.5950001,1.096411,0.2736564,1.346294,0.295,0.3300001,0.49,0.57,0,0,14.4895,7.3345,0.77
kowloon_surrounded,spl_kowloon,0.5,0.735,0.4700001,0.1154578,0.9728792,1.001734,0,0.295,0.075,0.57,0.685,0,4.154502,5.108496,0.255
kowloon_narrow,spl_kowloon,0.5,0.315,0.28,0.9263689,0.4730513,1,0.485,0.56,0.175,0.335,0.37,0,5.824,7.703001,0.5
kowloon_tight,spl_kowloon,0.5,0.675,0.4750001,0.2334879,0.9436249,1.847885,0.62,0.435,0.24,0.46,0.365,0,7.782499,3.251,1
kowloon_bottom,spl_kowloon,0.5,0.4700001,0.3550003,0.7905169,0.2360057,1.966047,0.375,0.18,0.6699999,0.305,0.625,0,13.0585,11.15049,0.21
kowloon_slide,spl_kowloon,0.4200001,0.6299999,0.5450001,2.42,2.54,1,0.745,0.8,0.745,0.89,0.765,0,10.6735,8.606498,0.5
pow_jungle,spl_pow,0.855,0.1050001,0.5050002,0.1494226,0.2815675,1.02231,0.47,0.525,0.385,0.28,0.23,0,1.849005,4.392996,0.7599998
pow_hind,spl_pow,0.38,0.3100002,0.2000002,1.499008,0.1953847,1.474452,0.35,0.41,0.46,0.275,0.8250002,0,3.041499,2.723499,0.105
pow_tunnels_medium,spl_pow,0.5,0.42,0.425,1.205473,0.7173061,1.841096,0.67,0.57,0.205,0.1699999,0.28,0,6.351495,4.920495,0.275
pow_tunnels_large,spl_pow,0.5,0.5800001,0.5650001,1.397296,0.7907518,0.5793077,0.395,0.5150001,0.595,0.34,0.3050001,0,9.372501,6.828499,0.5
pow_tunnels,spl_pow,0.5,0.44,0.59,1.095698,0.5788479,1.487828,0.385,0.6950001,0.485,0.57,0.71,0,3.728,5.2385,0.5
pow_log_cabins,spl_pow,0.5,0.295,0.28,1,1,1.318195,0.385,0.78,0.59,0.695,0.5,0,5,5,0.5
pow_concrete_bldgs,spl_pow,0.5,0.5200001,0.3550001,0.805,0.66,1.387556,0.385,0.72,0.385,0.275,0.82,0,6.1925,4.6025,0.5
pow_underground_room,spl_pow,0.5,0.675,0.675,1,0.64,0.7608742,0,0,0.14,0.69,1,0,3.251,3.251,0.5
pow_cave_room,spl_pow,0.5,0.8400002,0.5750001,0.643262,0.6810393,1.292941,0.435,0.6500001,0.595,0.58,0.7400001,0,11.042,7.782495,0.6699999
pow_cave_ext_room,spl_pow,0.5,0.6050002,0.6050001,0.69,0.65,1.011175,0.005,0.8750001,0.595,0.62,0.6850001,0,7.305499,7.305499,0.5
pow_cell_room,spl_pow,0.525,0.48,0.42,0.755305,0.8158321,1,0.13,0.075,0.455,0.4949999,0.6750001,0,5.664999,3.8365,0.16
wmd_outdoor_snow,spl_wmd,0.3650002,0.665,0.5650001,0.1674358,0.7996669,0.5922557,0.48,0.53,0.285,0.34,0.7599999,0,4.870008,5.982985,0.2900001
wmd_outside_low,spl_wmd,0.3650002,0.77,0.3850001,0.1674358,0.4699494,0.4343265,0.48,0.42,0.285,0.34,0.7599999,0,6.778008,5.982985,0.2900001
wmd_window_breach,,0.4200001,0.6299999,0.5450001,2.42,2.54,1,0.745,0.8,0.745,0.89,0.765,0,10.6735,8.606498,0.5
wmd_cliff_face,spl_wmd,0.5,0.735,0.3400001,0.2223842,0.9728792,0.8332469,0,0.295,0.075,0.34,0.52,0,4.154502,7.890996,0.255
wmd_metal_shed,spl_wmd,0.435,0.465,0.405,1.8,1.12,0.714839,0.165,0.49,0.545,0.3150002,0.3150001,0,4.761507,4.125507,0.5
wmd_mg_gunner_room,spl_wmd,0.42,0.3,0.36,1.213145,0.6589407,1.433499,0.305,0.49,0.545,0.3700001,0.7050001,0,5.318004,4.841005,0.5
wmd_hangar,spl_wmd,0.3650002,0.5,0.68,0.4312747,0.6162297,0.9758019,0.295,0.37,0.545,0.4400001,0.2300001,0,5.397507,5.715511,0.5
wmd_ext_shed,spl_wmd,0.975,0.62,0.37,0.42,0.72,1,0.245,0.49,0.545,0.5550001,0.7050001,0,6.510505,3.251005,0.5
wmd_stone_hall,spl_wmd,0.975,0.62,0.37,0.42,0.72,1,0.245,0.49,0.545,0.5550001,0.7050001,0,6.510505,3.251005,0.5
wmd_steiners_office,spl_wmd,0.5449999,0.62,0.41,1.378741,1.313197,0.6946747,0.21,0.21,0.545,0.7200001,0.7050001,0,4.364005,4.841005,0.5
wmd_stone_room,spl_wmd,0.32,0.59,0.6350001,0.5108099,0.3694168,1.45612,0.38,0.415,0.28,0.4700001,0.7300001,0,5.954007,7.146507,0.245
wmd_first_avalanch,spl_wmd,0.5,0.36,0.36,0.535,0.3999999,0.913968,0.5,0.3700001,0.615,0.6649999,0.265,0,11.51901,11.59851,0.5
wmd_final_ledge,spl_wmd,0.5,0.18,0.245,0.535,0.5582912,1.329942,0.5,0.7450001,0.615,0.6649999,0.265,0,11.51901,7.226008,0.5
wmd_corridor,mpl_array,0.46,0.6550001,0.4050002,1.135665,0.3959801,0.445805,0.25,0.355,0.315,0.405,0.23,0,10.83251,6.618997,0.7849998
wmdsr_barracks,spl_wmd,0.3699999,0.3900001,0.4000001,0.3512655,0.6160893,1.931151,0.68,0.21,0.22,0.5550001,0.7300001,0,7.067006,5.397507,0.29
wmdsr_safehouse,spl_wmd,0.295,0.31,0.305,1.248532,0.3815748,1.178557,0.61,0.275,0.305,0.5299999,0.7450002,0,5.715511,4.04601,0.775
wmdsr_sr71,spl_wmd,0.5,0.165,0.1750001,0.9019407,0.7379413,1.847885,0.62,0.435,0.24,0.46,1,0,2.535499,1.8995,0.99
wmdsr_garage,spl_wmd,0.5,0.7049999,0.495,0.2948095,0.5775158,1,0.255,0.1299999,0.215,0.495,0.82,0,6.0335,5.0795,0.81
khe_san_outdoor_bkp,spl_khe_sanh,0.5,0.425,0.48,0.3315235,0.1544223,1,0.5949999,0,0.635,0.6000001,0.2399999,0,5,11.7575,0.16
khe_san_outdoor,spl_khe_sanh,0.5,0.425,0.48,0.4327179,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
khe_san_trench,spl_khe_sanh,0.72,0.6149999,0.27,0.1907899,1.759366,1,0.015,0.55,0.76,0.465,0.255,0,5.159,6.908001,0.2250001
khe_san_wood_bunker,spl_khe_sanh,0.5,0.375,0.475,1.129208,0.8323225,1.409552,0.4050001,0.31,0.32,0.5350001,0.525,0,3.3305,3.569,0.145
khe_san_small_cave,spl_khe_sanh,0.5,0.51,0.395,0.6118619,0.7875519,1.000742,0.325,0.415,0.455,0.3299998,0.13,0,4.920493,5.556495,0.5
khe_san_open_wood_bunker,spl_khe_sanh,0.5,0.28,0.495,0.08250304,0.8453945,1,0.43,0.7899999,0.51,0.49,0.2849999,0,3.250999,4.6315,0.5
khe_san_sandbag_bunker,spl_khe_sanh,0.5,0.725,0.43,0.9276012,0.7458196,1,0.6049999,0.305,0.1649999,0.4200001,0.015,0,4.711001,3.8365,0.6899998
khe_san_pipe,spl_khe_sanh,0.51,0.5050001,0.4700001,0.9430114,0.6023416,1.094468,0.46,0.29,0.51,0.74,0.78,0,7.385,5.397501,0.5
vorkuta_deafult,spl_vorkuta,0.5,0.11,0.3250001,1.211714,0.5949681,1,0.2850001,0.2699999,0.325,0.305,0.3550001,0,13.02949,6.033495,0.785
vorkuta_mine,spl_vorkuta,0.5,0.7900001,0.4899997,0.4648836,0.405823,1.331755,0.575,0.315,0.365,0.205,0.755,0,6.58999,6.351482,0.77
vorkuta_upper_mine,spl_vorkuta,0.5,0.955,0.2849998,0.1177333,2.043147,1,0.595,0.465,0.125,0.07999996,0.455,0,14.887,3.9665,0.885
vorkuta_building_small,spl_vorkuta,0.5,0.3200001,0.485,1.098542,0.6113696,1,0.495,0.22,0.365,0.14,0.76,0,2.296995,4.204989,0.305
vorkuta_building_large,spl_vorkuta,0.5,0.535,0.6700001,0.6171733,0.3738905,1,0.43,0.7899999,0.235,0.335,0.2849999,0,3.728,4.841,0.285
vorkuta_armory,spl_vorkuta,0.5,0.47,0.3700002,0.9478133,0.2360874,1,0.575,0.66,0.235,0.36,0.3850002,0,8.736498,6.8285,0.1850001
vorkuta_armory_control_room,spl_vorkuta,0.5,0.955,0.2849998,0.1177333,2.043147,1,0.595,0.465,0.125,0.07999996,0.455,0,14.887,3.9665,0.885
vorkuta_armory_walkway,spl_vorkuta,0.5,0.2950001,0.5350001,0.542052,0.1546481,1,0.13,0.225,0.495,0.305,0.1150001,0,3.0125,9.372499,0.75
vorkuta_armory_garage,spl_vorkuta,0.5,0.7049999,0.495,0.2948095,0.5775158,1,0.255,0.1299999,0.215,0.495,0.82,0,6.0335,5.0795,0.81
vorkuta_warehouse,spl_vorkuta,0.5,0.2250001,0.445,2.674403,0.3066666,1,0.495,0.1300001,0.275,0.35,0.2950001,0,7.544,8.338996,0.355
vorkuta_motorcycle_room_entry,spl_vorkuta,0.5,0.59,0.52,1.116152,0.2998698,1,0.305,0.35,0.175,0.405,0.37,0,4.1255,4.443501,0.68
vorkuta_motorcycle_room,spl_vorkuta,0.5,0.6000001,0.4500001,0.468551,0.4350124,1,0.175,0.3350001,0.595,0.62,0.6850001,0,7.305499,6.351499,0.5
vorkuta_slow_mo_truck_explo,spl_vorkuta,0.77,0.6000001,0.8300001,0.03517419,0.84383,1,0.295,0.385,0.205,0.94,1,0,13.774,13.774,0.5
duga_small_room,mpl_duga,0.5,0.955,0.2849998,0.1177333,2.043147,1,0.595,0.465,0.125,0.07999996,0.455,0,14.887,3.9665,0.885
duga_medium_room,mpl_duga,0.525,0.48,0.42,0.755305,0.2892093,1.184829,0.13,0.275,0.455,0.4949999,0.6750001,0,5.664999,6.301,0.16
duga_large_room,mpl_duga,0.5,0.47,0.3700002,0.9478133,0.2360874,1,0.575,0.66,0.235,0.36,0.3850002,0,8.736498,6.8285,0.1850001
duga_hallway,mpl_duga,0.5,0.485,0.565,0.8475981,0.6041108,1,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
duga_partial_room,mpl_duga,0.5,0.3150001,0.3750001,0.5310498,0.8664576,0.5320379,0.405,0.485,0.495,0.305,0.3750001,0,6.0335,9.292995,0.3550001
duga_stone_corr,mpl_duga,0.5,0.6300001,0.49,1.200244,0.426529,0.4740238,0.445,0.315,0.365,0.6799999,0.91,0,4.04599,9.054483,0.195
duga_outside,mpl_duga,0.5,0.425,0.48,0.3315235,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
cracked_outdoor,mpl_cracked,0.5,0.11,0.3250001,1.211714,0.5949681,1,0.2850001,0.2699999,0.325,0.305,0.3550001,0,13.02949,6.033495,0.785
cracked_small_room,mpl_cracked,0.5,0.515,0.5,0.805,0.7444605,1,0.385,0.72,0.035,0.3,0.82,0,3.1715,3.1715,0.5
cracked_partial_room,mpl_cracked,0.5,0.2200001,0.2350001,0.8999264,1.368421,2.03837,0.13,0.225,0.495,0.305,0.1150001,0,3.807499,6.033499,0.75
cracked_rubble_room,mpl_cracked,0.5,0.3150001,0.3750001,0.5310498,0.8664576,0.5320379,0.405,0.485,0.495,0.305,0.3750001,0,6.0335,9.292995,0.3550001
cracked_alley,mpl_cracked,0.5,0.485,0.565,0.8475981,0.6041108,1,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
mp_final_killcam,,0.76,0.3150001,0.6550001,0.1219779,0.4962824,1.091943,0.525,0.385,0.205,0.375,0.195,0,2.723499,3.438999,0.82
cosmo_outdoor,mpl_cosmodrome,0.5,0.42,0.5450001,0.2659157,0.6073048,0.7819641,0.2850001,0.2699999,0.325,0.555,0.4850001,0,8.895488,7.702998,0.7600001
cosmo_rocket_room,mpl_cosmodrome,0.5,0.7600001,0.6350001,0.69,0.65,0.7000167,0.005,0.8750001,0.595,0.62,0.6850001,0,7.305499,6.430999,0.5
cosmo_small_room,mpl_cosmodrome,0.5,0.515,0.5,0.805,1.616269,1,0.385,0.72,0.035,0.3,0.82,0,3.1715,3.1715,0.5
cosmo_med_room,mpl_cosmodrome,0.5,0.52,0.515,0.4452697,0.1110195,1,0.48,0.5499999,0.51,0.435,0.6449999,0,6.987499,5.636002,0.245
cosmo_comp_room,mpl_cosmodrome,0.525,0.48,0.475,0.7896295,0.3194872,1.184829,0.13,0.275,0.455,0.2199999,0.6750001,0,5.664999,4.711,0.16
cosmo_partial_room,mpl_cosmodrome,0.5,0.42,0.5450001,0.2659157,0.6073048,0.7819641,0.2850001,0.2699999,0.325,0.555,0.4850001,0,8.895488,7.702998,0.7600001
cosmo_metal_hall,mpl_cosmodrome,0.5,0.7049999,0.495,0.2948095,0.5775158,1.439465,0.255,0.1299999,0.215,0.495,0.82,0,6.0335,5.0795,0.81
cosmo_metal_container,mpl_cosmodrome,0.5,0.4500001,0.2850001,0.8849999,1,1,0.7449999,0,0,0.66,0.78,0,5,5.8745,0.5
mountain_outside,mpl_mountain,0.5,0.425,0.48,0.3315235,0.2075824,2.178537,0.5949999,0,0.635,0.6000001,0.2099999,0,5,11.7575,0.16
mountain_inside,mpl_mountain,0.5,0.72,0.53,0.6818873,0.3986897,0.8279415,0.43,0.7899999,0.51,0.49,0.4699998,0,6.192502,5.953999,0.8649999
mountain_utility_room,mpl_mountain,0.995,0.73,0.73,0.1457882,0.5161431,0.6469074,0.245,0.21,0.22,0.5550001,0.7300001,0,5.874507,4.284507,0.5
mountain_floor_2,mpl_mountain,0.5,0.465,0.495,0.5341057,0.2347504,0.9854271,0.305,0.57,0.255,0.585,0.715,0,5,4.1255,0.5
mountain_small_room,mpl_mountain,0.975,0.265,0.625,0.5057719,0.2416417,1,0.165,0.31,0.545,0.4200002,0.995,0,4.125508,4.682007,0.785
mountain_open_room,mpl_mountain,0.975,0.62,0.545,0.42,0.72,1,0.245,0.49,0.545,0.3850001,0.7050001,0,6.510505,5.636005,0.5
mountain_partial_room,mpl_mountain,0.975,0.3,0.4749999,1.160397,0.624361,0.7856254,0.335,0.49,0.545,0.4550002,0.995,0,4.682007,4.761507,0.5
mountain_container,mpl_mountain,0.5,0.6750001,0.6150001,0.9693578,1,0.3597343,0.7449999,0,0,0.66,0.78,0,5,2.8535,0.5
pentagon_inside_heli,spl_pentagon,0.885,0.3350001,0.4850002,0.4937702,0.8162033,1.568112,0.7449999,0,0.41,0.415,0.78,0,3.1715,1.661,0.815
pentagon_heli_tarmac,spl_pentagon,0.5,0.425,0.48,0.21764,0.1151112,2.743236,0.5949999,0,0.635,0.6000001,0.2099999,0,5,6.828501,0.16
pentagon_inside_limo,spl_pentagon,0.5,0.19,0.26,0.7294525,1.08162,1.536334,0.345,0,0.635,0,0.5,0,2.6945,2.933,0.5
pentagon_lobby,spl_pentagon,0.5,0.475,0.34,0.3574896,0.1476321,4,0.305,0,0.175,0.405,0.46,0,6.192502,4.2845,0.865
pentagon_office,spl_pentagon,0.5,0.475,0.34,0.1806317,0.4773535,1.800116,0.305,0,0.175,0.405,0.84,0,4.761502,3.6485,0.865
pentagon_hallway,spl_pentagon,0.5,0.485,0.565,0.2817803,0.3557587,1.218309,0.32,0.2,0.32,0.38,0.34,0,6.589999,3.569,0.805
pentagon_elivator,spl_pentagon,0.5,0.6750001,0.6750001,0.8849999,1,0.3597343,0.7449999,0,0,0.66,0.78,0,5,5,0.5
pentagon_war_room,spl_pentagon,0.5,0.47,0.3700002,0.9478133,0.2360874,1.649119,0.575,0.66,0.235,0.36,0.3850002,0,8.736498,6.8285,0.1850001
