name,room,roomHF,roomRolloffFactor,decayTime,decayHFRatio,reflections,reflectionsDelay,reverb,reverbDelay,diffusion,density,HFReference
pow_jungle,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
pow_hind,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_shock,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_helo,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_meat,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_path,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_jungle,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_partial_hut,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_small_hut,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
creek_1_large_hut,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
hue_city_office,-1000,-600,0,1.5,0.83,-1600,0.02,-1000,0.04,100,100,5000
hue_city_street,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
creek_1_village_fight,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
wmd_window_breach,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
jungle_partial_courtyard,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
jungle_courtyard,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
jungle_hangar,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
jungle_default,-1000,-800,0,1.49,0.67,-2273,0.007,-2217,0.011,50,100,5000
