table,row,field,value
alias,zmb_simianaut_chest_hit,vol_min,98
alias,zmb_simianaut_chest_hit,vol_max,98
alias,zmb_simianaut_step,vol_min,98
alias,zmb_simianaut_step,vol_max,98
alias,zmb_simianaut_groundpound,vol_min,98
alias,zmb_simianaut_groundpound,vol_max,98
alias,wpn_minigun_fire_loop_npc,dist_max,6000
alias,wpn_minigun_fire_loop_npc,dist_reverb_max,6001
alias,wpn_minigun_fire_loop_ring_npc,dist_min,1500
alias,wpn_minigun_fire_loop_ring_npc,dist_max,6000
alias,wpn_minigun_fire_loop_ring_npc,dist_reverb_max,6001
alias,wpn_minigun_dist_loop_npc,dist_max,7000
alias,wpn_minigun_dist_loop_npc,dist_reverb_max,7001
alias,wpn_minigun_dist_loop_ring_npc,dist_max,7000
alias,wpn_minigun_dist_loop_ring_npc,dist_reverb_max,7001
alias,wpn_flamethrower_start_3p,dist_min,1000
alias,wpn_flamethrower_fireloop_3p,dist_min,1000
alias,wpn_flamethrower_cooldown_3p,dist_min,1000
alias,wpn_crossbow_fire_npc,dist_min,500
alias,wpn_crossbow_fire_npc,dist_max,5000
alias,wpn_crossbow_fire_npc,dist_reverb_max,5500
alias,wpn_crossbow_fire_dist,dist_min,500
alias,wpn_crossbow_fire_dist,dist_max,6000
alias,wpn_crossbow_fire_dist,dist_reverb_max,6500
alias,wpn_skorpion_fire_npc,dist_min,500
alias,wpn_skorpion_fire_npc,dist_max,5000
alias,wpn_skorpion_fire_npc,dist_reverb_max,6000
alias,wpn_skorpion_fire_npc,occlusion_level,19660
alias,wpn_skorpion_silencer_fire_npc,dist_min,250
alias,wpn_skorpion_silencer_fire_npc,dist_max,3000
alias,wpn_skorpion_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_skorpion_silencer_fire_npc,occlusion_level,19660
alias,wpn_mp5_fire_npc,dist_min,500
alias,wpn_mp5_fire_npc,dist_max,5000
alias,wpn_mp5_fire_npc,dist_reverb_max,6000
alias,wpn_mp5_fire_npc,occlusion_level,19660
alias,wpn_mp5_silencer_fire_npc,dist_min,250
alias,wpn_mp5_silencer_fire_npc,dist_max,3000
alias,wpn_mp5_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_mp5_silencer_fire_npc,occlusion_level,19660
alias,wpn_uzi_fire_npc,dist_min,500
alias,wpn_uzi_fire_npc,dist_max,5000
alias,wpn_uzi_fire_npc,dist_reverb_max,6000
alias,wpn_uzi_fire_npc,occlusion_level,19660
alias,wpn_uzi_silencer_fire_npc,dist_min,250
alias,wpn_uzi_silencer_fire_npc,dist_max,3000
alias,wpn_uzi_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_uzi_silencer_fire_npc,occlusion_level,19660
alias,wpn_mac11_fire_npc,dist_min,500
alias,wpn_mac11_fire_npc,dist_max,5000
alias,wpn_mac11_fire_npc,dist_reverb_max,6000
alias,wpn_mac11_fire_npc,occlusion_level,19660
alias,wpn_mac11_silencer_fire_npc,dist_min,250
alias,wpn_mac11_silencer_fire_npc,dist_max,3000
alias,wpn_mac11_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_mac11_silencer_fire_npc,occlusion_level,19660
alias,wpn_ak74u_fire_npc,dist_min,500
alias,wpn_ak74u_fire_npc,dist_max,5000
alias,wpn_ak74u_fire_npc,dist_reverb_max,6000
alias,wpn_ak74u_fire_npc,occlusion_level,19660
alias,wpn_ak74u_silencer_fire_npc,dist_min,250
alias,wpn_ak74u_silencer_fire_npc,dist_max,3000
alias,wpn_ak74u_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_ak74u_silencer_fire_npc,occlusion_level,19660
alias,wpn_kiparis_fire_npc,dist_min,500
alias,wpn_kiparis_fire_npc,dist_max,5000
alias,wpn_kiparis_fire_npc,dist_reverb_max,6000
alias,wpn_kiparis_fire_npc,occlusion_level,19660
alias,wpn_kiparis_silencer_fire_npc,dist_min,250
alias,wpn_kiparis_silencer_fire_npc,dist_max,3000
alias,wpn_kiparis_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_kiparis_silencer_fire_npc,occlusion_level,19660
alias,wpn_mpl_fire_npc,dist_min,500
alias,wpn_mpl_fire_npc,dist_max,5000
alias,wpn_mpl_fire_npc,dist_reverb_max,6000
alias,wpn_mpl_fire_npc,occlusion_level,19660
alias,wpn_mpl_silencer_fire_npc,dist_min,250
alias,wpn_mpl_silencer_fire_npc,dist_max,3000
alias,wpn_mpl_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_mpl_silencer_fire_npc,occlusion_level,19660
alias,wpn_pm63_fire_npc,dist_min,500
alias,wpn_pm63_fire_npc,dist_max,5000
alias,wpn_pm63_fire_npc,dist_reverb_max,6000
alias,wpn_pm63_fire_npc,occlusion_level,19660
alias,wpn_pm63_silencer_fire_npc,dist_min,250
alias,wpn_pm63_silencer_fire_npc,dist_max,3000
alias,wpn_pm63_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_pm63_silencer_fire_npc,occlusion_level,19660
alias,wpn_spectre_fire_npc,dist_min,500
alias,wpn_spectre_fire_npc,dist_max,5000
alias,wpn_spectre_fire_npc,dist_reverb_max,6000
alias,wpn_spectre_fire_npc,occlusion_level,19660
alias,wpn_spectre_silencer_fire_npc,dist_min,250
alias,wpn_spectre_silencer_fire_npc,dist_max,3000
alias,wpn_spectre_silencer_fire_npc,dist_reverb_max,3001
alias,wpn_spectre_silencer_fire_npc,occlusion_level,19660
alias,wpn_rpg_fire_npc,dist_min,1500
alias,wpn_rpg_fire_npc,dist_max,12000
alias,wpn_strela_fire_npc,dist_min,1500
alias,wpn_strela_fire_npc,dist_max,12000
alias,wpn_m202_fire_npc,dist_min,1500
alias,wpn_m202_fire_npc,dist_max,12000
alias,wpn_m202_fire_blast_npc,dist_max,12000
alias,wpn_m202_fire_blast_npc,dist_reverb_max,12500
alias,wpn_rocket_explode_wood,dist_max,1500
alias,wpn_rocket_explode_wood,dist_reverb_max,1750
alias,wpn_rocket_explode_carpet,dist_max,1500
alias,wpn_rocket_explode_carpet,dist_reverb_max,1750
alias,wpn_rocket_explode_plaster,dist_max,1500
alias,wpn_rocket_explode_plaster,dist_reverb_max,1750
alias,wpn_rocket_explode_rock,dist_max,1500
alias,wpn_rocket_explode_rock,dist_reverb_max,1750
alias,wpn_rocket_explode_asphalt,dist_max,1500
alias,wpn_rocket_explode_asphalt,dist_reverb_max,1750
alias,wpn_rocket_explode_brick,dist_max,1500
alias,wpn_rocket_explode_brick,dist_reverb_max,1750
alias,wpn_rocket_explode_ceramic,dist_max,1500
alias,wpn_rocket_explode_ceramic,dist_reverb_max,1750
alias,wpn_rocket_explode_concrete,dist_max,1500
alias,wpn_rocket_explode_concrete,dist_reverb_max,1750
alias,wpn_rocket_explode_dirt,dist_max,1500
alias,wpn_rocket_explode_dirt,dist_reverb_max,1750
alias,wpn_rocket_explode_bark,dist_max,1500
alias,wpn_rocket_explode_bark,dist_reverb_max,1750
alias,wpn_rocket_explode_foliage,dist_max,1500
alias,wpn_rocket_explode_foliage,dist_reverb_max,1750
alias,wpn_rocket_explode_grass,dist_max,1500
alias,wpn_rocket_explode_grass,dist_reverb_max,1750
alias,wpn_rocket_explode_gravel,dist_max,1500
alias,wpn_rocket_explode_gravel,dist_reverb_max,1750
alias,wpn_rocket_explode_ice,dist_max,1500
alias,wpn_rocket_explode_ice,dist_reverb_max,1750
alias,wpn_rocket_explode_mud,dist_max,1500
alias,wpn_rocket_explode_mud,dist_reverb_max,1750
alias,wpn_rocket_explode_sand,dist_max,1500
alias,wpn_rocket_explode_sand,dist_reverb_max,1750
alias,wpn_rocket_explode_snow,dist_max,1500
alias,wpn_rocket_explode_snow,dist_reverb_max,1750
alias,wpn_rocket_explode_cloth,dist_max,1500
alias,wpn_rocket_explode_cloth,dist_reverb_max,1750
alias,wpn_rocket_explode_cushion,dist_max,1500
alias,wpn_rocket_explode_cushion,dist_reverb_max,1750
alias,wpn_rocket_explode_default,dist_max,1500
alias,wpn_rocket_explode_default,dist_reverb_max,1750
alias,wpn_rocket_explode_flesh,dist_max,1500
alias,wpn_rocket_explode_flesh,dist_reverb_max,1750
alias,wpn_rocket_explode_fruit,dist_max,1500
alias,wpn_rocket_explode_fruit,dist_reverb_max,1750
alias,wpn_rocket_explode_glass,dist_max,1500
alias,wpn_rocket_explode_glass,dist_reverb_max,1750
alias,wpn_rocket_explode_metal,dist_max,1500
alias,wpn_rocket_explode_metal,dist_reverb_max,1750
alias,wpn_rocket_explode_paintedmetal,dist_max,1500
alias,wpn_rocket_explode_paintedmetal,dist_reverb_max,1750
alias,wpn_rocket_explode_paper,dist_max,1500
alias,wpn_rocket_explode_paper,dist_reverb_max,1750
alias,wpn_rocket_explode_plastic,dist_max,1500
alias,wpn_rocket_explode_plastic,dist_reverb_max,1750
alias,wpn_rocket_explode_player,dist_max,1500
alias,wpn_rocket_explode_player,dist_reverb_max,1750
alias,wpn_rocket_explode_rubber,dist_max,1500
alias,wpn_rocket_explode_rubber,dist_reverb_max,1750
alias,wpn_rocket_explode_tallgrass,dist_max,1500
alias,wpn_rocket_explode_tallgrass,dist_reverb_max,1750
alias,wpn_hs10_fire_npc,dist_min,500
alias,wpn_hs10_fire_npc,dist_max,5000
alias,wpn_hs10_fire_npc,dist_reverb_max,6000
alias,wpn_hs10_fire_npc,occlusion_level,19660
alias,wpn_rottweil72_fire_npc,dist_min,500
alias,wpn_rottweil72_fire_npc,dist_max,5000
alias,wpn_rottweil72_fire_npc,dist_reverb_max,6000
alias,wpn_rottweil72_fire_npc,occlusion_level,19660
alias,wpn_spas_fire_npc,dist_max,5000
alias,wpn_spas_fire_npc,dist_reverb_max,6000
alias,wpn_spas_fire_npc,occlusion_level,19660
alias,wpn_spas_silencer_fire_npc,occlusion_level,19660
alias,wpn_ithaca_fire_npc,dist_min,500
alias,wpn_ithaca_fire_npc,dist_max,5000
alias,wpn_ithaca_fire_npc,dist_reverb_max,6000
alias,wpn_ithaca_fire_npc,occlusion_level,19660
alias,wpn_ks23_fire_npc,dist_min,500
alias,wpn_ks23_fire_npc,dist_max,5000
alias,wpn_ks23_fire_npc,dist_reverb_max,6000
alias,wpn_ks23_fire_npc,occlusion_level,19660
alias,wpn_mk_fire_npc,dist_min,500
alias,wpn_mk_fire_npc,dist_max,5000
alias,wpn_mk_fire_npc,dist_reverb_max,6000
alias,wpn_wa2000_fire_npc,dist_min,500
alias,wpn_wa2000_fire_npc,dist_max,7000
alias,wpn_wa2000_fire_npc,dist_reverb_max,8000
alias,wpn_wa2000_fire_npc,occlusion_level,19660
alias,wpn_wa2000_fire_npc_dist_ring,dist_min,500
alias,wpn_wa2000_fire_npc_dist_ring,dist_max,7000
alias,wpn_wa2000_fire_npc_dist_ring,dist_reverb_max,8000
alias,wpn_wa2000_silencer_fire_npc,dist_min,250
alias,wpn_wa2000_silencer_fire_npc,dist_max,4500
alias,wpn_wa2000_silencer_fire_npc,dist_reverb_max,4501
alias,wpn_wa2000_silencer_fire_npc,occlusion_level,19660
alias,wpn_dragunov_fire_npc,dist_min,500
alias,wpn_dragunov_fire_npc,dist_max,7000
alias,wpn_dragunov_fire_npc,dist_reverb_max,8000
alias,wpn_dragunov_fire_npc,occlusion_level,19660
alias,wpn_dragunov_fire_npc_dist_ring,dist_min,500
alias,wpn_dragunov_fire_npc_dist_ring,dist_max,7000
alias,wpn_dragunov_fire_npc_dist_ring,dist_reverb_max,8000
alias,wpn_dragunov_silencer_fire_npc,dist_min,250
alias,wpn_dragunov_silencer_fire_npc,dist_max,4500
alias,wpn_dragunov_silencer_fire_npc,dist_reverb_max,4501
alias,wpn_dragunov_silencer_fire_npc,occlusion_level,19660
alias,wpn_l96a1_fire_npc,dist_min,500
alias,wpn_l96a1_fire_npc,dist_max,7000
alias,wpn_l96a1_fire_npc,dist_reverb_max,8000
alias,wpn_l96a1_fire_npc,occlusion_level,19660
alias,wpn_l96a1_fire_npc_dist_ring,dist_min,500
alias,wpn_l96a1_fire_npc_dist_ring,dist_max,7000
alias,wpn_l96a1_fire_npc_dist_ring,dist_reverb_max,8000
alias,wpn_l96a1_silencer_fire_npc,dist_min,250
alias,wpn_l96a1_silencer_fire_npc,dist_max,4500
alias,wpn_l96a1_silencer_fire_npc,dist_reverb_max,4501
alias,wpn_l96a1_silencer_fire_npc,occlusion_level,19660
alias,wpn_psg1_fire_npc,dist_min,500
alias,wpn_psg1_fire_npc,dist_max,7000
alias,wpn_psg1_fire_npc,dist_reverb_max,8000
alias,wpn_psg1_fire_npc,occlusion_level,19660
alias,wpn_psg1_fire_npc_dist_ring,dist_min,500
alias,wpn_psg1_fire_npc_dist_ring,dist_max,7000
alias,wpn_psg1_fire_npc_dist_ring,dist_reverb_max,8000
alias,wpn_psg1_silencer_fire_npc,dist_min,250
alias,wpn_psg1_silencer_fire_npc,dist_max,4500
alias,wpn_psg1_silencer_fire_npc,dist_reverb_max,4501
alias,wpn_psg1_silencer_fire_npc,occlusion_level,19660
alias,wpn_colt45_fire_npc,occlusion_level,19660
alias,wpn_colt45_silencer_fire_npc,occlusion_level,19660
alias,wpn_cz75_fire_npc,occlusion_level,19660
alias,wpn_cz75_silencer_fire_npc,occlusion_level,19660
alias,wpn_asp_fire_npc,occlusion_level,19660
alias,wpn_asp_silencer_fire_npc,occlusion_level,19660
alias,wpn_makarov_fire_npc,occlusion_level,19660
alias,wpn_makarov_silencer_fire_npc,occlusion_level,19660
alias,wpn_python_fire_npc,occlusion_level,19660
alias,wpn_rpk_fire_npc,dist_min,800
alias,wpn_rpk_fire_npc,dist_max,8000
alias,wpn_rpk_fire_npc,dist_reverb_max,9000
alias,wpn_rpk_fire_npc,occlusion_level,19660
alias,wpn_stoner63_fire_npc,dist_min,800
alias,wpn_stoner63_fire_npc,dist_max,8000
alias,wpn_stoner63_fire_npc,dist_reverb_max,9000
alias,wpn_stoner63_fire_npc,occlusion_level,19660
alias,wpn_hk21_fire_npc,dist_min,800
alias,wpn_hk21_fire_npc,dist_max,8000
alias,wpn_hk21_fire_npc,dist_reverb_max,9000
alias,wpn_hk21_fire_npc,occlusion_level,19660
alias,wpn_m60e4_fire_npc,dist_min,800
alias,wpn_m60e4_fire_npc,dist_max,8000
alias,wpn_m60e4_fire_npc,dist_reverb_max,9000
alias,wpn_m60e4_fire_npc,occlusion_level,19660
alias,wpn_hatchet_bounce_wood,dist_reverb_max,1201
alias,wpn_hatchet_bounce_bark,dist_reverb_max,1201
alias,wpn_hatchet_bounce_flesh,dist_reverb_max,1201
alias,wpn_hatchet_bounce_metal,dist_reverb_max,1201
alias,wpn_hatchet_bounce_paintedmetal,dist_reverb_max,1201
alias,wpn_grenade_explode_wood,dist_max,2000
alias,wpn_grenade_explode_wood,dist_reverb_max,3000
alias,wpn_grenade_explode_wood,occlusion_level,19660
alias,wpn_grenade_explode_carpet,dist_max,2000
alias,wpn_grenade_explode_carpet,dist_reverb_max,3000
alias,wpn_grenade_explode_carpet,occlusion_level,19660
alias,wpn_grenade_explode_plaster,dist_max,2000
alias,wpn_grenade_explode_plaster,dist_reverb_max,3000
alias,wpn_grenade_explode_plaster,occlusion_level,19660
alias,wpn_grenade_explode_rock,dist_max,2000
alias,wpn_grenade_explode_rock,dist_reverb_max,3000
alias,wpn_grenade_explode_rock,occlusion_level,19660
alias,wpn_grenade_explode_asphalt,dist_max,2000
alias,wpn_grenade_explode_asphalt,dist_reverb_max,3000
alias,wpn_grenade_explode_asphalt,occlusion_level,19660
alias,wpn_grenade_explode_brick,dist_max,2000
alias,wpn_grenade_explode_brick,dist_reverb_max,3000
alias,wpn_grenade_explode_brick,occlusion_level,19660
alias,wpn_grenade_explode_ceramic,dist_max,2000
alias,wpn_grenade_explode_ceramic,dist_reverb_max,3000
alias,wpn_grenade_explode_ceramic,occlusion_level,19660
alias,wpn_grenade_explode_concrete,dist_max,2000
alias,wpn_grenade_explode_concrete,dist_reverb_max,3000
alias,wpn_grenade_explode_concrete,occlusion_level,19660
alias,wpn_grenade_explode_dirt,dist_max,2000
alias,wpn_grenade_explode_dirt,dist_reverb_max,3000
alias,wpn_grenade_explode_dirt,occlusion_level,19660
alias,wpn_grenade_explode_bark,dist_max,2000
alias,wpn_grenade_explode_bark,dist_reverb_max,3000
alias,wpn_grenade_explode_bark,occlusion_level,19660
alias,wpn_grenade_explode_foliage,dist_max,2000
alias,wpn_grenade_explode_foliage,dist_reverb_max,3000
alias,wpn_grenade_explode_foliage,occlusion_level,19660
alias,wpn_grenade_explode_grass,dist_max,2000
alias,wpn_grenade_explode_grass,dist_reverb_max,3000
alias,wpn_grenade_explode_grass,occlusion_level,19660
alias,wpn_grenade_explode_gravel,dist_max,2000
alias,wpn_grenade_explode_gravel,dist_reverb_max,3000
alias,wpn_grenade_explode_gravel,occlusion_level,19660
alias,wpn_grenade_explode_ice,dist_max,2000
alias,wpn_grenade_explode_ice,dist_reverb_max,3000
alias,wpn_grenade_explode_ice,occlusion_level,19660
alias,wpn_grenade_explode_mud,dist_max,2000
alias,wpn_grenade_explode_mud,dist_reverb_max,3000
alias,wpn_grenade_explode_mud,occlusion_level,19660
alias,wpn_grenade_explode_sand,dist_max,2000
alias,wpn_grenade_explode_sand,dist_reverb_max,3000
alias,wpn_grenade_explode_sand,occlusion_level,19660
alias,wpn_grenade_explode_snow,dist_max,2000
alias,wpn_grenade_explode_snow,dist_reverb_max,3000
alias,wpn_grenade_explode_snow,occlusion_level,19660
alias,wpn_grenade_explode_cloth,dist_max,2000
alias,wpn_grenade_explode_cloth,dist_reverb_max,3000
alias,wpn_grenade_explode_cloth,occlusion_level,19660
alias,wpn_grenade_explode_cushion,dist_max,2000
alias,wpn_grenade_explode_cushion,dist_reverb_max,3000
alias,wpn_grenade_explode_cushion,occlusion_level,19660
alias,wpn_grenade_explode_default,dist_max,2000
alias,wpn_grenade_explode_default,dist_reverb_max,3000
alias,wpn_grenade_explode_default,occlusion_level,19660
alias,wpn_grenade_explode_flesh,dist_max,2000
alias,wpn_grenade_explode_flesh,dist_reverb_max,3000
alias,wpn_grenade_explode_flesh,occlusion_level,19660
alias,wpn_grenade_explode_fruit,dist_max,2000
alias,wpn_grenade_explode_fruit,dist_reverb_max,3000
alias,wpn_grenade_explode_fruit,occlusion_level,19660
alias,wpn_grenade_explode_glass,dist_max,2000
alias,wpn_grenade_explode_glass,dist_reverb_max,3000
alias,wpn_grenade_explode_glass,occlusion_level,19660
