table,column,title,tip,wiget,type,min,max,default,enumTable,enumColumn,unit,displayUnit
master,lowQ,,,,float,0.1,16,,,,,
master,peak1E,,,,float,0,1,,,,,
master,peak1G,,,,float,-60,12,,,,,
master,peak1F,,,,float,20,20000,,,,,
master,peak1Q,,,,float,0.1,16,,,,,
master,peak2E,,,,float,0,1,,,,,
master,peak2G,,,,float,-60,12,,,,,
master,peak2F,,,,float,20,20000,,,,,
master,peak2Q,,,,float,0.1,16,,,,,
master,hiE,,,,float,0,1,,,,,
master,hiG,,,,float,-60,12,,,,,
master,hiF,,,,float,20,20000,,,,,
master,hiQ,,,,float,0.1,16,,,,,
master,eqG,,,,float,0,16,,,,,
master,compE,,,,float,0,1,,,,,
master,compPG,,,,float,0,16,,,,,
master,compMG,,,,float,0,16,,,,,
master,compT,,,,float,0.03,1,,,,,
master,compR,,,,float,0.1,100,,,,,
master,compTA,,,,float,0,4,,,,,
master,compTR,,,,float,0.1,4,,,,,
master,limitE,,,,float,0,1,,,,,
master,limitPG,,,,float,0,16,,,,,
master,limitMG,,,,float,0,16,,,,,
master,limitT,,,,float,0.03,1,,,,,
master,limitR,,,,float,0.1,100,,,,,
master,limitTA,,,,float,0,4,,,,,
master,limitTR,,,,float,0.1,4,,,,,
,,,,,,,,,,,,
snapshot_group,name,,,text,string,,,,,,,
loadspec,name,,,text,string,,,,,,,
limittype,name,,,text,string,,,,,,,
spatialized,name,,,text,string,,,,,,,
bus,name,,,text,string,,,,,,,
randomizetype,name,,,text,string,,,,,,,
storage,name,,,text,string,,,,,,,
,,,,,,,,,,,,
context,type,,,text,string,,,,,,,
context,value,,,text,string,,,,,,,
,,,,,,,,,,,,
snapshot,name,,,,string,,,,,,,
snapshot,fadeIn,,,number,int,0,65000,0,,,millisecond,millisecond
snapshot,fadeInCurve,,,combo,enum,,,default,curve,name,,
snapshot,fadeOut,,,number,int,0,65000,0,,,millisecond,millisecond
snapshot,fadeOutCurve,,,combo,enum,,,default,curve,name,,
snapshot,distance,,,number,int,0,65000,0,,,quakeunit,quakeunit
,,,,,,,,,,,,
snapshot_value,name,,,,string,,,,,,,
snapshot_value,group,,,,enum,,,,,,,
snapshot_value,occlusion,,,,float,,,,,,,
snapshot_value,attenuation,,,,float,,,,,,,
